response,correct,rotation
down,True,0.0
up,True,8.0
up,True,32.0
down,False,16.0
up,False,-32.0
up,False,-32.0
down,True,-8.0
up,True,8.0
down,True,-8.0
down,True,-16.0
up,True,16.0
up,False,0.0
down,True,-16.0
up,True,32.0
